lamcen_nm  ccd_xpix  ccd_ypix
 897.1670  1829.644    30.509
 880.2390  1831.213    61.256
 863.9390  1833.132    92.271
 848.2310  1834.991   123.581
 833.0840  1836.967   155.211
 818.4680  1838.948   187.183
 804.3570  1841.305   219.519
 790.7230  1843.452   252.241
 777.5450  1846.131   285.367
 764.7980  1848.672   318.917
 752.4630  1851.575   352.906
 740.5190  1854.472   387.353
 728.9480  1857.457   422.273
 717.7340  1860.880   457.682
 706.8590  1864.241   493.595
 696.3090  1867.888   530.026
 686.0690  1871.633   566.989
 676.1260  1875.628   604.499
 666.4670  1879.796   642.569
 657.0800  1884.147   681.212
 647.9540  1888.792   720.442
 639.0780  1893.653   760.271
 630.4420  1898.782   800.713
 622.0360  1904.059   841.781
 613.8510  1909.520   883.487
 605.8790  1915.377   925.845
 598.1110  1921.369   968.867
 590.5400  1927.762  1012.568
 583.1590  1934.703  1056.959
 575.9590  1941.512  1102.054
 568.9350  1948.779  1147.867
 562.0800  1956.286  1194.412
 555.3890  1964.427  1241.702
 548.8550  1972.766  1289.752
 542.4730  1981.496  1338.575
 536.2380  1990.723  1388.188
 530.1440  2000.083  1438.603
 524.1870  2009.886  1489.838
 518.3630  2020.370  1541.907
 512.6670  2031.310  1594.827
 507.0940  2042.388  1648.614
 501.6420  2054.428  1703.285
 496.3050  2066.567  1758.857
 491.0810  2079.506  1815.349
 485.9650  2092.647  1872.778
 480.9550  2106.583  1931.165
 476.0480  2121.447  1990.527
 471.2390  2136.439  2050.886
 466.5270  2152.444  2112.263
 461.9080  2168.988  2174.678
 457.3790  2185.977  2238.155
 452.9390  2204.184  2302.715
 448.5830  2222.512  2368.384
 444.3110  2242.116  2435.185
 440.1200  2262.737  2503.145
 436.0060  2283.579  2572.289
 431.9690  2305.716  2642.646
 428.0060  2328.754  2714.245
 424.1150  2352.743  2787.114
 420.2940  2377.697  2861.284
 416.5420  2404.107  2936.789
 412.8560  2431.421  3013.661
 409.2340  2459.548  3091.936
 405.6750  2488.892  3171.649
 402.1780  2519.845  3252.839
 398.7410  2552.247  3335.546
 395.3620  2585.901  3419.810
