lamcen_nm  ccd_xpix  ccd_ypix
 896.4840  1678.582    30.504
 879.5900  1684.826    61.247
 863.3210  1691.023    92.257
 847.6440  1697.429   123.561
 832.5270  1703.981   155.184
 817.9400  1710.557   187.149
 803.8550  1717.019   219.478
 790.2480  1723.750   252.191
 777.0950  1730.732   285.307
 764.3730  1737.796   318.846
 752.0610  1744.910   352.823
 740.1390  1751.951   387.256
 728.5900  1759.274   422.161
 717.3970  1766.944   457.554
 706.5420  1774.459   493.448
 696.0110  1782.148   529.859
 685.7900  1790.103   566.802
 675.8650  1798.179   604.289
 666.2230  1806.288   642.334
 656.8530  1814.730   680.951
 647.7420  1822.999   720.153
 638.8820  1831.931   759.953
 630.2600  1840.637   800.364
 621.8680  1849.618   841.400
 613.6970  1858.907   883.072
 605.7370  1868.055   925.395
 597.9820  1877.783   968.381
 590.4220  1887.346  1012.044
 583.0520  1897.556  1056.397
 575.8630  1907.736  1101.453
 568.8480  1917.764  1147.227
 562.0030  1928.475  1193.731
 555.3200  1939.180  1240.981
 548.7940  1950.158  1288.990
 542.4200  1961.601  1337.773
 536.1910  1972.857  1387.346
 530.1040  1984.687  1437.723
 524.1530  1996.636  1488.921
 518.3340  2008.929  1540.956
 512.6420  2021.325  1593.843
 507.0730  2033.899  1647.601
 501.6240  2047.064  1702.246
 496.2900  2060.357  1757.798
 491.0680  2074.060  1814.273
 485.9540  2087.984  1871.693
 480.9450  2102.295  1930.076
 476.0370  2116.674  1989.443
 471.2280  2131.611  2049.815
 466.5140  2146.672  2111.215
 461.8930  2162.251  2173.665
 457.3620  2178.254  2237.189
 452.9170  2194.077  2301.811
 448.5580  2210.895  2367.557
 444.2810  2228.019  2434.454
 440.0830  2245.154  2502.528
 435.9630  2262.915  2571.810
 431.9190  2281.417  2642.328
 427.9470  2299.761  2714.115
 424.0470  2318.952  2787.202
 420.2160  2338.502  2861.623
 416.4520  2358.375  2937.415
 412.7530  2378.496  3014.614
 409.1190  2399.792  3093.260
 405.5460  2421.108  3173.393
 402.0330  2442.793  3255.056
 398.5790  2465.182  3338.295
 395.1820  2488.059  3423.155
