lam_obs_vac_nm,err_lam_obs_vac_nm,lam_ritz_vac_nm,err_lam_ritz_vac_nm,rel_intensity,einstein_aki,ion_name
  300.098400,  0.000300,  300.098394,  0.000005,3.000000e+00,0.000000e+00,Ar II     
  300.131980,  0.000050,  300.132001,  0.000018,1.700000e+01,1.500000e+08,Ar II     
  300.351600,  0.000060,  300.351520,  0.000040,1.600000e+01,0.000000e+00,Ar III    
  300.383900,  0.000300,  300.383984,  0.000014,4.000000e+00,0.000000e+00,Ar II     
  300.536200,  0.000600,  300.536569,  0.000015,2.000000e+00,0.000000e+00,Ar II     
  301.090000,  0.003000,  301.086200,  0.001100,1.000000e+01,0.000000e+00,Ar III    
  301.536010,  0.000100,  301.536028,  0.000005,7.000000e+00,0.000000e+00,Ar II     
  301.703000,  0.005000,  301.695000,  0.003000,5.000000e+00,0.000000e+00,Ar IV     
  302.486070,  0.000170,  302.486120,  0.000040,5.000000e+00,2.600000e+08,Ar III    
  302.762680,  0.000020,  302.762680,  0.000013,3.500000e+01,0.000000e+00,Ar II     
  302.804000,  0.003000,  302.796780,  0.000050,5.000000e+00,6.400000e+07,Ar III    
  302.960300,  0.000600,  302.960235,  0.000018,3.000000e+00,0.000000e+00,Ar II     
  303.439119,  0.000010,  303.439110,  0.000003,7.800000e+01,9.900000e+06,Ar II     
  303.784000,  0.003000,  303.776050,  0.000120,3.000000e+00,7.000000e+06,Ar III    
  303.879000,  0.003000,  303.878000,  0.003000,9.000000e+00,3.600000e+07,Ar IV     
  304.334800,  0.000600,  304.335262,  0.000011,1.000000e+00,0.000000e+00,Ar II     
  304.696480,  0.000080,  304.696527,  0.000005,6.000000e+00,0.000000e+00,Ar II     
  304.793900,  0.000600,  304.793907,  0.000004,5.000000e-01,0.000000e+00,Ar II     
  304.890800,  0.000600,  304.891136,  0.000006,2.000000e+00,0.000000e+00,Ar II     
  304.967100,  0.000600,  304.967522,  0.000006,2.000000e+00,0.000000e+00,Ar II     
  305.093000,  0.000600,  305.092824,  0.000009,1.000000e+00,0.000000e+00,Ar II     
  305.403900,  0.000600,  305.403803,  0.000010,5.000000e+00,0.000000e+00,Ar II     
  305.566190,  0.000450,  305.566300,  0.000400,3.000000e+00,1.900000e+08,Ar III    
  305.616900,  0.000600,  305.616818,  0.000009,5.000000e-01,0.000000e+00,Ar II     
  306.179570,  0.000100,  306.179541,  0.000008,7.000000e+00,0.000000e+00,Ar II     
  306.353300,  0.000600,  306.353328,  0.000008,3.000000e+00,0.000000e+00,Ar II     
  306.566000,  0.003000,  306.563600,  0.000400,1.000000e+01,1.000000e+08,Ar III    
  306.629100,  0.000600,  306.630279,  0.000004,5.000000e-01,0.000000e+00,Ar II     
  306.778000,  0.000600,  306.777957,  0.000003,6.000000e+00,0.000000e+00,Ar II     
  307.255000,  0.002000,  307.255755,  0.000003,5.000000e-01,0.000000e+00,Ar II     
  307.904000,  0.003000,  307.902650,  0.000180,1.000000e+01,1.400000e+08,Ar III    
  308.387310,  0.000070,  308.387298,  0.000014,1.000000e+01,0.000000e+00,Ar II     
  308.408800,  0.000600,  308.409424,  0.000008,1.000000e+00,0.000000e+00,Ar II     
  308.454000,  0.003000,  308.449300,  0.001200,3.000000e+00,0.000000e+00,Ar III    
  308.592320,  0.000030,  308.592263,  0.000019,1.900000e+01,0.000000e+00,Ar II     
  308.911180,  0.000160,  308.910990,  0.000110,8.000000e+00,0.000000e+00,Ar II     
  308.980700,  0.000600,  308.981054,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  309.429979,  0.000010,  309.429972,  0.000006,6.800000e+01,4.400000e+08,Ar II     
  309.586380,  0.000070,  309.586307,  0.000019,8.000000e+00,0.000000e+00,Ar II     
  310.082500,  0.000300,  310.082527,  0.000015,4.000000e+00,0.000000e+00,Ar II     
  310.190400,  0.000600,  310.190845,  0.000003,2.000000e+00,0.000000e+00,Ar II     
  310.348650,  0.000130,  310.348635,  0.000015,5.000000e+00,0.000000e+00,Ar II     
  310.385300,  0.000600,  310.385300,  0.000600,1.000000e+00,0.000000e+00,Ar II     
  310.526080,  0.000050,  310.526037,  0.000019,1.700000e+01,0.000000e+00,Ar II     
  310.970300,  0.000600,  310.970679,  0.000003,2.000000e+00,0.000000e+00,Ar II     
  311.061300,  0.000600,  311.061414,  0.000015,4.000000e+00,0.000000e+00,Ar II     
  311.088000,  0.002000,  311.088016,  0.000022,5.000000e-01,0.000000e+00,Ar II     
  311.131000,  0.003000,  311.124200,  0.001300,7.000000e+00,0.000000e+00,Ar III    
  311.528100,  0.000600,  311.528481,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  312.517400,  0.000600,  312.518378,  0.000007,1.000000e+00,0.000000e+00,Ar II     
  312.881000,  0.003000,  312.881030,  0.000070,7.000000e+00,0.000000e+00,Ar III    
  313.570000,  0.003000,  313.575000,  0.003000,9.000000e+00,0.000000e+00,Ar IV     
  313.739270,  0.000110,  313.739308,  0.000020,7.000000e+00,0.000000e+00,Ar II     
  313.853800,  0.000600,  313.854172,  0.000007,3.000000e+00,0.000000e+00,Ar II     
  313.992686,  0.000010,  313.992668,  0.000004,7.900000e+01,5.200000e+07,Ar II     
  314.017310,  0.000090,  314.017324,  0.000016,8.000000e+00,0.000000e+00,Ar II     
  314.187300,  0.000600,  314.188309,  0.000020,2.000000e+00,0.000000e+00,Ar II     
  314.480200,  0.000600,  314.480571,  0.000010,3.000000e+00,0.000000e+00,Ar II     
  314.681100,  0.000600,  314.681517,  0.000009,2.000000e+00,0.000000e+00,Ar II     
  314.733300,  0.000600,  314.733747,  0.000003,4.000000e+00,3.000000e+05,Ar II     
  314.911800,  0.000200,  314.911776,  0.000003,2.000000e+00,0.000000e+00,Ar II     
  315.142200,  0.000600,  315.142855,  0.000011,4.000000e+00,0.000000e+00,Ar II     
  315.352600,  0.000600,  315.353105,  0.000015,3.000000e+00,0.000000e+00,Ar II     
  315.469760,  0.000040,  315.469779,  0.000020,1.300000e+01,0.000000e+00,Ar II     
  315.486000,  0.000600,  315.487273,  0.000008,5.000000e-01,0.000000e+00,Ar II     
  315.520200,  0.000600,  315.521281,  0.000017,2.000000e+00,0.000000e+00,Ar II     
  315.833000,  0.003000,  315.839000,  0.000400,5.000000e+00,0.000000e+00,Ar III    
  315.912200,  0.000600,  315.912759,  0.000022,5.000000e-01,0.000000e+00,Ar II     
  316.228800,  0.000020,  316.228798,  0.000020,4.500000e+01,1.800000e+08,Ar II     
  316.237210,  0.000040,  316.237165,  0.000005,1.500000e+01,0.000000e+00,Ar II     
  316.445100,  0.000600,  316.445623,  0.000020,2.000000e+00,0.000000e+00,Ar II     
  316.620710,  0.000050,  316.620715,  0.000005,1.100000e+01,0.000000e+00,Ar II     
  316.838100,  0.000600,  316.838797,  0.000006,3.000000e+00,0.000000e+00,Ar II     
  317.058539,  0.000010,  317.058522,  0.000004,7.800000e+01,4.900000e+07,Ar II     
  317.232100,  0.000600,  317.232497,  0.000007,3.000000e+00,0.000000e+00,Ar II     
  317.256000,  0.003000,  317.260480,  0.000160,2.000000e+00,0.000000e+00,Ar III    
  317.378000,  0.000400,  317.377932,  0.000007,3.000000e+00,0.000000e+00,Ar II     
  318.195750,  0.000020,  318.195719,  0.000004,4.500000e+01,3.700000e+07,Ar II     
  318.665500,  0.000600,  318.665771,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  318.709300,  0.000140,  318.709301,  0.000004,4.000000e+00,0.000000e+00,Ar II     
  318.882000,  0.003000,  318.882100,  0.001600,6.000000e+00,0.000000e+00,Ar III    
  318.929100,  0.000600,  318.930271,  0.000005,1.000000e+00,0.000000e+00,Ar II     
  319.328600,  0.000600,  319.329189,  0.000006,3.000000e+00,0.000000e+00,Ar II     
  319.443500,  0.000600,  319.443796,  0.000016,1.000000e+00,0.000000e+00,Ar II     
  319.515370,  0.000040,  319.515362,  0.000003,1.400000e+01,2.400000e+07,Ar II     
  319.552100,  0.000600,  319.552837,  0.000004,4.000000e+00,0.000000e+00,Ar II     
  319.667600,  0.000600,  319.667902,  0.000019,5.000000e+00,0.000000e+00,Ar II     
  319.984500,  0.000600,  319.985109,  0.000003,2.000000e+00,0.000000e+00,Ar II     
  320.431800,  0.000600,  320.431843,  0.000003,3.000000e+00,0.000000e+00,Ar II     
  320.524650,  0.000020,  320.524680,  0.000007,3.500000e+01,4.000000e+07,Ar II     
  320.593200,  0.000200,  320.592990,  0.000120,6.000000e+00,0.000000e+00,Ar II     
  320.850800,  0.000200,  320.850802,  0.000021,5.000000e+00,0.000000e+00,Ar II     
  320.858200,  0.000600,  320.859570,  0.000009,2.000000e+00,0.000000e+00,Ar II     
  321.344580,  0.000100,  321.344612,  0.000004,7.000000e+00,5.200000e+06,Ar II     
  321.661700,  0.000600,  321.662131,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  321.765880,  0.000110,  321.765875,  0.000003,6.000000e+00,0.000000e+00,Ar II     
  321.860230,  0.000140,  321.860273,  0.000021,5.000000e+00,0.000000e+00,Ar II     
  322.255500,  0.000600,  322.255525,  0.000003,7.000000e+00,1.800000e+06,Ar II     
  322.332820,  0.000100,  322.332837,  0.000021,8.000000e+00,0.000000e+00,Ar II     
  322.432000,  0.002000,  322.435000,  0.004000,1.000000e+00,0.000000e+00,Ar III    
  322.690400,  0.000600,  322.690558,  0.000003,6.000000e+00,2.100000e+06,Ar II     
  323.095300,  0.000600,  323.095515,  0.000004,4.000000e+00,0.000000e+00,Ar II     
  323.161300,  0.000600,  323.161549,  0.000004,2.000000e+00,0.000000e+00,Ar II     
  323.610900,  0.000600,  323.611356,  0.000016,3.000000e+00,0.000000e+00,Ar II     
  323.774390,  0.000080,  323.774465,  0.000007,1.000000e+01,5.200000e+07,Ar II     
