  lam_obs  lam_ritz rel_flux 
231.77460 231.77460    191.0 
275.48640 275.48671      2.0 
284.41290 284.41286      4.0 
284.78160 284.78192      3.0 
289.16123 289.16122    234.0 
293.25905 293.25901      6.0 
294.28932 294.28931   1047.0 
297.90502 297.90501    263.0 
303.35082 303.35081     78.0 
313.90174 313.90172     79.0 
316.96682 316.96680     78.0 
318.10374 318.10371     45.0 
321.25178 321.25181      7.0 
322.16250 322.16249      7.0 
322.59730 322.59742      6.0 
324.36881 324.36881     95.0 
324.97996 324.97998     95.0 
325.39180 325.39184      3.0 
326.35702 326.35706     21.0 
328.17012 328.17009     43.0 
343.04148 343.04151     26.0 
345.40949 345.40950     76.0 
347.67471 347.67471    427.0 
349.12437 349.12437    389.0 
349.15356 349.15356   1000.0 
349.94759 349.94759      8.0 
350.97779 350.97779    447.0 
351.43874 351.43873    490.0 
351.99933 351.99933    191.0 
352.12600 352.12599    100.0 
353.53194 353.53193    170.0 
354.85141 354.85140    195.0 
355.00297 355.00289     10.0 
355.69038 355.69038     49.0 
355.95079 355.95078   1445.0 
356.50296 356.50294    162.0 
357.66153 357.66154  12303.0 
358.16077 358.16080     68.0 
358.23544 358.23543    155.0 
358.84403 358.84402  12303.0 
360.15089 360.15088     15.0 
360.58788 360.58789     24.0 
361.18130 361.18131     14.0 
363.48119 363.48122      9.0 
365.60495 365.60494     27.0 
368.25439 368.25445      9.0 
370.69302 370.69297      7.0 
370.99085 370.99084     11.0 
371.71721 371.71710      6.0 
372.93082 372.93081    234.0 
373.54880 373.54876      4.0 
374.69130 374.69130      7.0 
376.35041 376.35050     17.0 
376.61182 376.61184     91.0 
378.08394 378.08395     81.0 
378.63819 378.63820     20.0 
379.93811 379.93819     12.0 
380.85745 380.85744     14.0 
382.68067 382.68069     30.0 
384.15186 384.15184     18.0 
384.47306 384.47308      5.0 
384.54049 384.54051     32.0 
385.05808 385.05808    263.0 
386.85281 386.85282    166.0 
387.21361 387.21370     11.0 
387.52641 387.52641     78.0 
388.03323 388.03329     15.0 
389.14011 389.14012     14.0 
389.19787 389.19787     50.0 
390.06251 390.06264      8.0 
391.15759 391.15759      6.0 
391.47674 391.47670     25.0 
391.77669 391.77669      5.0 
392.23590 392.23580      2.0 
392.86227 392.86228    191.0 
393.12353 393.12355     17.0 
393.25463 393.25464     91.0 
394.42712 394.42712     49.0 
394.75050 394.75050      7.0 
