wlen_ritz,wlen_ritz_err,wlen_meas,wlen_meas_err,rel_intensity,species,lower_state_energy,lower_state_J,upper_state_energy,upper_state_J,source
3500.477138,0.000025,3500.4771,0.0007,8,Ar II,161049,3/2_1,132481,5/2,95WHA
3500.67064,0.00024,3500.670518,-,269,Ar III,196591,1_1,225157,2,95WHA
3500.82330,0.00006,3500.8229,0.0004,180,Th I,8243,2_1,36808,3,PE83
3500.98770,0.00007,3500.98778,0.00020,620,Th II,8018,3/2,36581,3/2_1,PE83
3501.10456,0.00009,3501.1044,0.0003,310,Th I,11241,3_1,39804,2,PE83
3501.16063,0.00009,3501.1605,0.0006,44,Th II,7828,1/2,36390,3/2_1,PE83
3501.20427,0.00009,3501.2075,0.0017,66,Th II,16564,11/2_1,45126,9/2,ZC74
3501.26784,0.00007,3501.2682,0.0004,150,Th II,15242,9/2_1,43803,7/2,PE83
3501.32869,0.00005,3501.3285,0.0005,78,Th I,7502,3,36062,4_1,PE83
3501.53306,0.00006,3501.5331,0.0004,140,Th II,12488,9/2_1,41047,9/2,PE83
3501.84362,0.00009,3501.8437,0.0004,170,Th II,20288,11/2_1,48844,9/2,PE83
3502.45753,0.00009,3502.45745,0.00021,590,Th II,10189,11/2_1,38740,11/2,PE83
3502.64431,0.00006,3502.6441,0.0006,45,Th II,9238,9/2_1,37787,7/2,PE83
3502.86832,0.00005,3502.86828,0.00020,690,Th I,5563,1,34111,1_1,PE83
3502.94897,0.00006,3502.9490,0.0005,56,Th II,7331,5/2_1,35878,7/2,PE83
3503.15986,0.00015,3503.1601,0.0005,64,Th I,15490,5_1,44035,4,PE83
3503.51570,0.00007,3503.5160,0.0012,240,Th I,10414,4_1,38956,4,Z76
3503.64923,0.00018,3503.6501,0.0017,7,Th II,23730,9/2_1,52272,7/2,ZC74
3503.68519,0.00025,3503.684825,-,93,Ar III,196615,2_1,225157,2,95WHA
3503.70304,0.00007,3503.7032,0.0005,61,Th II,10855,7/2,39396,7/2_1,PE83
3503.74039,0.00005,3503.7406,0.0004,170,Th I,7795,4_1,36336,3,PE83
3503.78069,0.00006,3503.78075,0.00023,460,Th II,9061,5/2,37601,3/2_1,PE83
3503.96564,0.00005,3503.9656,0.0004,150,Th I,10414,4_1,38953,5,PE83
3504.01959,0.00009,3504.0199,0.0005,52,Th I,10783,2_1,39321,3,PE83
3504.13177,0.00010,3504.1312,0.0004,180,Th I,13175,4_1,41712,5,PE83
3504.49621,0.00017,3504.4967,0.0004,170,Th II,34270,9/2,62805,9/2_1,PE83
3504.59175,0.00025,3504.591628,-,468,Ar III,196615,2_1,225149,2,95WHA
3504.61684,0.00010,3504.6165,0.0003,310,Th II,13818,7/2_1,42352,5/2,PE83
3504.78799,0.00005,3504.78808,0.00017,1000,Th I,7280,2,35812,3_1,PE83
3504.86655,0.00007,3504.8654,0.0012,180,Th I,8243,2_1,36775,3,Z76
3505.04017,0.00009,3505.0399,0.0004,120,Th II,17722,9/2_1,46253,9/2,PE83
3505.10439,0.00012,3505.1024,0.0017,14,Th II,14484,11/2_1,43014,13/2,ZC74
